# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Ex4_000344	Ex4_000344	Ex4_000344-T1	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
Ex4_000345	Ex4_000345	Ex4_000345-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000346	Ex4_000346	Ex4_000346-T1	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0
Ex4_000347	Ex4_000347	Ex4_000347-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000348	Ex4_000348	Ex4_000348-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000450	Ex4_000450	Ex4_000450-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000451	Ex4_000451	Ex4_000451-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000452	Ex4_000452	Ex4_000452-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000563	Ex4_000563	Ex4_000563-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000564	Ex4_000564	Ex4_000564-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000603	Ex4_000603	Ex4_000603-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000604	Ex4_000604	Ex4_000604-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_000605	Ex4_000605	Ex4_000605-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000606	Ex4_000606	Ex4_000606-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000607	Ex4_000607	Ex4_000607-T1	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
Ex4_000608	Ex4_000608	Ex4_000608-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000609	Ex4_000609	Ex4_000609-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000610	Ex4_000610	Ex4_000610-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000631	Ex4_000631	Ex4_000631-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000632	Ex4_000632	Ex4_000632-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000633	Ex4_000633	Ex4_000633-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000634	Ex4_000634	Ex4_000634-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000663	Ex4_000663	Ex4_000663-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000664	Ex4_000664	Ex4_000664-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000665	Ex4_000665	Ex4_000665-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_000704	Ex4_000704	Ex4_000704-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000705	Ex4_000705	Ex4_000705-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000747	Ex4_000747	Ex4_000747-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000748	Ex4_000748	Ex4_000748-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_000749	Ex4_000749	Ex4_000749-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000779	Ex4_000779	Ex4_000779-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000780	Ex4_000780	Ex4_000780-T1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
Ex4_000781	Ex4_000781	Ex4_000781-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000782	Ex4_000782	Ex4_000782-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000788	Ex4_000788	Ex4_000788-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000789	Ex4_000789	Ex4_000789-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000790	Ex4_000790	Ex4_000790-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000886	Ex4_000886	Ex4_000886-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000887	Ex4_000887	Ex4_000887-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000888	Ex4_000888	Ex4_000888-T1	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0
Ex4_000889	Ex4_000889	Ex4_000889-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000944	Ex4_000944	Ex4_000944-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000945	Ex4_000945	Ex4_000945-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000946	Ex4_000946	Ex4_000946-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000947	Ex4_000947	Ex4_000947-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000948	Ex4_000948	Ex4_000948-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_000949	Ex4_000949	Ex4_000949-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000958	Ex4_000958	Ex4_000958-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000959	Ex4_000959	Ex4_000959-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_000960	Ex4_000960	Ex4_000960-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_000961	Ex4_000961	Ex4_000961-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001011	Ex4_001011	Ex4_001011-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001012	Ex4_001012	Ex4_001012-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001013	Ex4_001013	Ex4_001013-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001023	Ex4_001023	Ex4_001023-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001070	Ex4_001070	Ex4_001070-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001082	Ex4_001082	Ex4_001082-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001083	Ex4_001083	Ex4_001083-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001084	Ex4_001084	Ex4_001084-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001085	Ex4_001085	Ex4_001085-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001086	Ex4_001086	Ex4_001086-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001087	Ex4_001087	Ex4_001087-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001088	Ex4_001088	Ex4_001088-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001089	Ex4_001089	Ex4_001089-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001090	Ex4_001090	Ex4_001090-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001122	Ex4_001122	Ex4_001122-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001123	Ex4_001123	Ex4_001123-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001124	Ex4_001124	Ex4_001124-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_001125	Ex4_001125	Ex4_001125-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001126	Ex4_001126	Ex4_001126-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001129	Ex4_001129	Ex4_001129-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001130	Ex4_001130	Ex4_001130-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001131	Ex4_001131	Ex4_001131-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001138	Ex4_001138	Ex4_001138-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001139	Ex4_001139	Ex4_001139-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001140	Ex4_001140	Ex4_001140-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_001141	Ex4_001141	Ex4_001141-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001142	Ex4_001142	Ex4_001142-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001171	Ex4_001171	Ex4_001171-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001172	Ex4_001172	Ex4_001172-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001173	Ex4_001173	Ex4_001173-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001174	Ex4_001174	Ex4_001174-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001228	Ex4_001228	Ex4_001228-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
Ex4_001229	Ex4_001229	Ex4_001229-T1	protein_coding	0	1	1	0	0	0	1	0	0	0	0	1	0
Ex4_001230	Ex4_001230	Ex4_001230-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
Ex4_001231	Ex4_001231	Ex4_001231-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
Ex4_001276	Ex4_001276	Ex4_001276-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001277	Ex4_001277	Ex4_001277-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001278	Ex4_001278	Ex4_001278-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001279	Ex4_001279	Ex4_001279-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001280	Ex4_001280	Ex4_001280-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001282	Ex4_001282	Ex4_001282-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001283	Ex4_001283	Ex4_001283-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_001284	Ex4_001284	Ex4_001284-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001310	Ex4_001310	Ex4_001310-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001311	Ex4_001311	Ex4_001311-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001312	Ex4_001312	Ex4_001312-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001313	Ex4_001313	Ex4_001313-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001375	Ex4_001375	Ex4_001375-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001376	Ex4_001376	Ex4_001376-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001377	Ex4_001377	Ex4_001377-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001389	Ex4_001389	Ex4_001389-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001390	Ex4_001390	Ex4_001390-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001391	Ex4_001391	Ex4_001391-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001392	Ex4_001392	Ex4_001392-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001399	Ex4_001399	Ex4_001399-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
Ex4_001400	Ex4_001400	Ex4_001400-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
Ex4_001401	Ex4_001401	Ex4_001401-T1	protein_coding	0	0	1	1	1	0	1	0	0	0	0	0	0
Ex4_001402	Ex4_001402	Ex4_001402-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
Ex4_001403	Ex4_001403	Ex4_001403-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
Ex4_001435	Ex4_001435	Ex4_001435-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001436	Ex4_001436	Ex4_001436-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001437	Ex4_001437	Ex4_001437-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_001438	Ex4_001438	Ex4_001438-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001439	Ex4_001439	Ex4_001439-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001506	Ex4_001506	Ex4_001506-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001507	Ex4_001507	Ex4_001507-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001508	Ex4_001508	Ex4_001508-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001509	Ex4_001509	Ex4_001509-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001718	Ex4_001718	Ex4_001718-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001719	Ex4_001719	Ex4_001719-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001720	Ex4_001720	Ex4_001720-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001721	Ex4_001721	Ex4_001721-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001751	Ex4_001751	Ex4_001751-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001752	Ex4_001752	Ex4_001752-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001753	Ex4_001753	Ex4_001753-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001754	Ex4_001754	Ex4_001754-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_001802	Ex4_001802	Ex4_001802-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001803	Ex4_001803	Ex4_001803-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_001804	Ex4_001804	Ex4_001804-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001805	Ex4_001805	Ex4_001805-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001875	Ex4_001875	Ex4_001875-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001876	Ex4_001876	Ex4_001876-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001877	Ex4_001877	Ex4_001877-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001878	Ex4_001878	Ex4_001878-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001879	Ex4_001879	Ex4_001879-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001947	Ex4_001947	Ex4_001947-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001948	Ex4_001948	Ex4_001948-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_001949	Ex4_001949	Ex4_001949-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001950	Ex4_001950	Ex4_001950-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001955	Ex4_001955	Ex4_001955-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001956	Ex4_001956	Ex4_001956-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001957	Ex4_001957	Ex4_001957-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001958	Ex4_001958	Ex4_001958-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001959	Ex4_001959	Ex4_001959-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001960	Ex4_001960	Ex4_001960-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_001988	Ex4_001988	Ex4_001988-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001989	Ex4_001989	Ex4_001989-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_001990	Ex4_001990	Ex4_001990-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_001991	Ex4_001991	Ex4_001991-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002000	Ex4_002000	Ex4_002000-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002001	Ex4_002001	Ex4_002001-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002002	Ex4_002002	Ex4_002002-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002003	Ex4_002003	Ex4_002003-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002004	Ex4_002004	Ex4_002004-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002049	Ex4_002049	Ex4_002049-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002050	Ex4_002050	Ex4_002050-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_002051	Ex4_002051	Ex4_002051-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002052	Ex4_002052	Ex4_002052-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002069	Ex4_002069	Ex4_002069-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002070	Ex4_002070	Ex4_002070-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_002071	Ex4_002071	Ex4_002071-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002143	Ex4_002143	Ex4_002143-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002144	Ex4_002144	Ex4_002144-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002145	Ex4_002145	Ex4_002145-T1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
Ex4_002146	Ex4_002146	Ex4_002146-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002181	Ex4_002181	Ex4_002181-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002182	Ex4_002182	Ex4_002182-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002183	Ex4_002183	Ex4_002183-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002184	Ex4_002184	Ex4_002184-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002185	Ex4_002185	Ex4_002185-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
Ex4_002186	Ex4_002186	Ex4_002186-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002191	Ex4_002191	Ex4_002191-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002192	Ex4_002192	Ex4_002192-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002193	Ex4_002193	Ex4_002193-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002194	Ex4_002194	Ex4_002194-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002196	Ex4_002196	Ex4_002196-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002197	Ex4_002197	Ex4_002197-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002198	Ex4_002198	Ex4_002198-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002199	Ex4_002199	Ex4_002199-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002207	Ex4_002207	Ex4_002207-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002208	Ex4_002208	Ex4_002208-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002209	Ex4_002209	Ex4_002209-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002210	Ex4_002210	Ex4_002210-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002211	Ex4_002211	Ex4_002211-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002212	Ex4_002212	Ex4_002212-T1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
Ex4_002238	Ex4_002238	Ex4_002238-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
Ex4_002239	Ex4_002239	Ex4_002239-T1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
