Orthogroup	E_dermatitidis_DCF04.aa	E_dermatitidis_NIHUT8656.aa
OG0000048	HRR76_000429-T1, HRR76_002016-T1, HRR76_007821-T1	HMPREF1120_00419, HMPREF1120_01943, HMPREF1120_07594
OG0000049	HRR76_003413-T1, HRR76_003908-T1, HRR76_004888-T1	HMPREF1120_03253, HMPREF1120_03726, HMPREF1120_04690
OG0000050	HRR76_002125-T1, HRR76_006630-T1, HRR76_008305-T1	HMPREF1120_02034, HMPREF1120_06399, HMPREF1120_08020
OG0000051	HRR76_001837-T1, HRR76_007418-T1	HMPREF1120_01776, HMPREF1120_05373, HMPREF1120_07197, HMPREF1120_08101
OG0000052	HRR76_000475-T1, HRR76_002966-T1, HRR76_004808-T1	HMPREF1120_00462, HMPREF1120_02835, HMPREF1120_04613
OG0000053	HRR76_001347-T1, HRR76_009177-T1, HRR76_009416-T1	HMPREF1120_01300, HMPREF1120_08854, HMPREF1120_09091
OG0000054	HRR76_002480-T1, HRR76_009137-T1, HRR76_009285-T1	HMPREF1120_02370, HMPREF1120_08812, HMPREF1120_08964
OG0000055	HRR76_001566-T1, HRR76_001663-T1, HRR76_003633-T1	HMPREF1120_01513, HMPREF1120_01608, HMPREF1120_03471
OG0000056	HRR76_000388-T1, HRR76_002837-T1, HRR76_005020-T1	HMPREF1120_00378, HMPREF1120_02712, HMPREF1120_04817
OG0000057	HRR76_001873-T1, HRR76_002620-T1, HRR76_006068-T1	HMPREF1120_01807, HMPREF1120_02499, HMPREF1120_05834
OG0000058	HRR76_000986-T1, HRR76_003963-T2, HRR76_003982-T1	HMPREF1120_00953, HMPREF1120_03778, HMPREF1120_03797
OG0000059	HRR76_003617-T1, HRR76_004445-T1, HRR76_005441-T1	HMPREF1120_03456, HMPREF1120_04249, HMPREF1120_05219
OG0000060	HRR76_001328-T1, HRR76_004713-T1, HRR76_008951-T1	HMPREF1120_01283, HMPREF1120_04524, HMPREF1120_08633
OG0000061	HRR76_003296-T1, HRR76_004250-T1, HRR76_006976-T1	HMPREF1120_03137, HMPREF1120_04052, HMPREF1120_06769
OG0000062	HRR76_000675-T1, HRR76_006289-T1, HRR76_006805-T1	HMPREF1120_00657, HMPREF1120_06062, HMPREF1120_06607
OG0000063	HRR76_002481-T1, HRR76_005191-T1, HRR76_009286-T1	HMPREF1120_02372, HMPREF1120_04985, HMPREF1120_08965
OG0000064	HRR76_004475-T1, HRR76_008071-T1, HRR76_008836-T1	HMPREF1120_04276, HMPREF1120_07830, HMPREF1120_08536
OG0000065	HRR76_000250-T1, HRR76_004871-T1, HRR76_007004-T1	HMPREF1120_00251, HMPREF1120_04671, HMPREF1120_06796
OG0000066	HRR76_007779-T1, HRR76_008932-T1, HRR76_009496-T1	HMPREF1120_07550, HMPREF1120_08611, HMPREF1120_09171
OG0000067	HRR76_003794-T1, HRR76_007386-T1, HRR76_009267-T1	HMPREF1120_03631, HMPREF1120_07165, HMPREF1120_08949
OG0000068	HRR76_001554-T1, HRR76_003141-T1, HRR76_009015-T1	HMPREF1120_01498, HMPREF1120_02984, HMPREF1120_08694
OG0000069	HRR76_004561-T1, HRR76_005842-T2, HRR76_006631-T1	HMPREF1120_04371, HMPREF1120_05619, HMPREF1120_06400
OG0000070	HRR76_001485-T1, HRR76_008983-T1, HRR76_009095-T1	HMPREF1120_01428, HMPREF1120_08663, HMPREF1120_08772
OG0000071	HRR76_002799-T1, HRR76_004588-T1, HRR76_005694-T1	HMPREF1120_02674, HMPREF1120_04398, HMPREF1120_05469
OG0000072	HRR76_001537-T1, HRR76_002857-T1, HRR76_005630-T1	HMPREF1120_01480, HMPREF1120_02733, HMPREF1120_05408
OG0000073	HRR76_003925-T1, HRR76_004806-T1, HRR76_007388-T1	HMPREF1120_03742, HMPREF1120_04611, HMPREF1120_07167
OG0000074	HRR76_003382-T1, HRR76_004508-T1, HRR76_008225-T1	HMPREF1120_03224, HMPREF1120_04308, HMPREF1120_07937
OG0000075	HRR76_002864-T1, HRR76_007693-T1, HRR76_008892-T1	HMPREF1120_02740, HMPREF1120_07466, HMPREF1120_08570
OG0000076	HRR76_002880-T1, HRR76_004772-T1, HRR76_008886-T1	HMPREF1120_02754, HMPREF1120_04578, HMPREF1120_08564
OG0000077	HRR76_008296-T1, HRR76_009169-T1, HRR76_009170-T1	HMPREF1120_08012, HMPREF1120_08844, HMPREF1120_08845
OG0000078	HRR76_000936-T1, HRR76_003434-T1, HRR76_005818-T1	HMPREF1120_00906, HMPREF1120_03275, HMPREF1120_05594
OG0000079	HRR76_004187-T1, HRR76_005899-T1, HRR76_008764-T1	HMPREF1120_03991, HMPREF1120_05678, HMPREF1120_08464
OG0000080	HRR76_000233-T1, HRR76_002629-T1, HRR76_009489-T1	HMPREF1120_00234, HMPREF1120_02508, HMPREF1120_09164
OG0000081	HRR76_002731-T1, HRR76_004474-T1, HRR76_007884-T1	HMPREF1120_02609, HMPREF1120_04275, HMPREF1120_07653
OG0000082	HRR76_001494-T1, HRR76_008294-T1, HRR76_009168-T1	HMPREF1120_01437, HMPREF1120_08010, HMPREF1120_08843
OG0000083	HRR76_000494-T1, HRR76_001226-T1, HRR76_003688-T1	HMPREF1120_00482, HMPREF1120_01186, HMPREF1120_03525
OG0000084	HRR76_001635-T1, HRR76_007910-T1, HRR76_009282-T1	HMPREF1120_01581, HMPREF1120_07677, HMPREF1120_08961
OG0000085	HRR76_000096-T1, HRR76_001241-T1, HRR76_007160-T1	HMPREF1120_00100, HMPREF1120_01200, HMPREF1120_06952
OG0000086	HRR76_001820-T1, HRR76_004060-T1, HRR76_006837-T2	HMPREF1120_01759, HMPREF1120_03866, HMPREF1120_06637
OG0000087	HRR76_004557-T1, HRR76_005710-T1, HRR76_008837-T1	HMPREF1120_04367, HMPREF1120_05482, HMPREF1120_08537
OG0000088	HRR76_004735-T1, HRR76_004737-T1, HRR76_007033-T1	HMPREF1120_04547, HMPREF1120_06827
OG0000089	HRR76_006701-T1, HRR76_007584-T1	HMPREF1120_00001, HMPREF1120_06465, HMPREF1120_07357
OG0000090	HRR76_001451-T1, HRR76_002156-T1	HMPREF1120_01398, HMPREF1120_02067, HMPREF1120_02068
OG0000091	HRR76_005382-T1, HRR76_005387-T1, HRR76_008341-T1	HMPREF1120_05164, HMPREF1120_08055
OG0000092	HRR76_000501-T1, HRR76_005832-T1	HMPREF1120_00007, HMPREF1120_00489, HMPREF1120_05610
OG0000093	HRR76_006703-T1, HRR76_009552-T1	HMPREF1120_06467, HMPREF1120_07239, HMPREF1120_09227
OG0000094	HRR76_003088-T1, HRR76_005367-T1, HRR76_005368-T1, HRR76_005404-T1	HMPREF1120_05181
OG0000095	HRR76_002602-T1, HRR76_003102-T1, HRR76_005336-T1	HMPREF1120_02484, HMPREF1120_05134
OG0000096	HRR76_003099-T1, HRR76_005339-T1, HRR76_005340-T1, HRR76_005341-T1	HMPREF1120_05138
OG0000097	HRR76_003376-T1, HRR76_006696-T1	HMPREF1120_03219, HMPREF1120_05972, HMPREF1120_06460
OG0000098	HRR76_003855-T1, HRR76_005292-T1, HRR76_005588-T1	HMPREF1120_05092, HMPREF1120_05366
OG0000099	HRR76_005356-T1, HRR76_005357-T1, HRR76_005365-T1, HRR76_009595-T1	HMPREF1120_05152
OG0000100	HRR76_005377-T1, HRR76_005386-T1, HRR76_009480-T1	HMPREF1120_05163, HMPREF1120_09155
OG0000101	HRR76_003922-T1, HRR76_006954-T1, HRR76_007748-T1, HRR76_008075-T1, HRR76_008333-T2	
OG0000102	HRR76_003067-T1, HRR76_003264-T1	HMPREF1120_00009, HMPREF1120_02931, HMPREF1120_03106
OG0000103	HRR76_005528-T1, HRR76_007986-T1	HMPREF1120_04953, HMPREF1120_05306, HMPREF1120_07748
OG0000104	HRR76_002958-T1, HRR76_005373-T1, HRR76_005868-T1	HMPREF1120_02828, HMPREF1120_05645
OG0000105	HRR76_006215-T1, HRR76_007996-T1	HMPREF1120_05986, HMPREF1120_07757, HMPREF1120_07758
OG0000106	HRR76_002819-T1, HRR76_006874-T1	HMPREF1120_02694, HMPREF1120_02695, HMPREF1120_06672
OG0000107	HRR76_000368-T1, HRR76_002525-T1, HRR76_003853-T1	HMPREF1120_00359, HMPREF1120_02413
OG0000108		HMPREF1120_03739, HMPREF1120_06749, HMPREF1120_07516, HMPREF1120_07834, HMPREF1120_08047
OG0000109	HRR76_003302-T1	HMPREF1120_03143, HMPREF1120_03441, HMPREF1120_08217
OG0000110	HRR76_005817-T1, HRR76_008890-T1	HMPREF1120_05593, HMPREF1120_08568
OG0000111	HRR76_004348-T1, HRR76_004765-T1	HMPREF1120_04146, HMPREF1120_04571
OG0000112	HRR76_003463-T1, HRR76_007904-T1	HMPREF1120_03303, HMPREF1120_07671
OG0000113	HRR76_000829-T1, HRR76_005831-T1	HMPREF1120_00805, HMPREF1120_05609
OG0000114	HRR76_005824-T1, HRR76_008692-T1	HMPREF1120_05601, HMPREF1120_08395
OG0000115	HRR76_004767-T1, HRR76_009516-T1	HMPREF1120_04573, HMPREF1120_09190
OG0000116	HRR76_003026-T1, HRR76_005638-T1	HMPREF1120_02893, HMPREF1120_05416
OG0000117	HRR76_003395-T1, HRR76_005508-T1	HMPREF1120_03236, HMPREF1120_05285
OG0000118	HRR76_001148-T1, HRR76_004706-T1	HMPREF1120_01110, HMPREF1120_04517
OG0000119	HRR76_003933-T1, HRR76_007537-T1	HMPREF1120_03750, HMPREF1120_07312
OG0000120	HRR76_006182-T1, HRR76_007266-T1	HMPREF1120_05946, HMPREF1120_07050
OG0000121	HRR76_002103-T1, HRR76_003457-T1	HMPREF1120_02014, HMPREF1120_03297
OG0000122	HRR76_001563-T1, HRR76_006234-T1	HMPREF1120_01509, HMPREF1120_06005
OG0000123	HRR76_006769-T1, HRR76_009479-T1	HMPREF1120_06528, HMPREF1120_09154
OG0000124	HRR76_003485-T1, HRR76_009208-T1	HMPREF1120_03323, HMPREF1120_08885
OG0000125	HRR76_006583-T1, HRR76_007098-T1	HMPREF1120_06353, HMPREF1120_06894
OG0000126	HRR76_005002-T1, HRR76_007281-T1	HMPREF1120_04799, HMPREF1120_07065
OG0000127	HRR76_003171-T1, HRR76_008431-T1	HMPREF1120_03016, HMPREF1120_08143
OG0000128	HRR76_002281-T1, HRR76_006511-T1	HMPREF1120_02187, HMPREF1120_06279
OG0000129	HRR76_000027-T2, HRR76_004600-T1	HMPREF1120_00035, HMPREF1120_04410
OG0000130	HRR76_003122-T1, HRR76_008835-T1	HMPREF1120_02962, HMPREF1120_08535
OG0000131	HRR76_002209-T1, HRR76_003281-T1	HMPREF1120_02117, HMPREF1120_03123
OG0000132	HRR76_005459-T1, HRR76_006275-T1	HMPREF1120_05235, HMPREF1120_06049
OG0000133	HRR76_000574-T1, HRR76_004436-T1	HMPREF1120_00558, HMPREF1120_04240
OG0000134	HRR76_007093-T1, HRR76_007786-T1	HMPREF1120_06889, HMPREF1120_07557
OG0000135	HRR76_001760-T1, HRR76_007827-T1	HMPREF1120_01705, HMPREF1120_07600
OG0000136	HRR76_000064-T1, HRR76_001216-T1	HMPREF1120_00069, HMPREF1120_01177
OG0000137	HRR76_000633-T1, HRR76_004298-T1	HMPREF1120_00616, HMPREF1120_04099
OG0000138	HRR76_004441-T1, HRR76_008991-T1	HMPREF1120_04245, HMPREF1120_08672
OG0000139	HRR76_002485-T1, HRR76_003754-T1	HMPREF1120_02376, HMPREF1120_03591
OG0000140	HRR76_000195-T1, HRR76_008403-T1	HMPREF1120_00199, HMPREF1120_08116
OG0000141	HRR76_004207-T1, HRR76_005862-T1	HMPREF1120_04012, HMPREF1120_05640
OG0000142	HRR76_000433-T1, HRR76_006978-T1	HMPREF1120_00422, HMPREF1120_06771
OG0000143	HRR76_000284-T2, HRR76_007502-T1	HMPREF1120_00283, HMPREF1120_07280
OG0000144	HRR76_000352-T1, HRR76_007791-T1	HMPREF1120_00344, HMPREF1120_07562
OG0000145	HRR76_000645-T1, HRR76_008214-T1	HMPREF1120_00627, HMPREF1120_07927
OG0000146	HRR76_001514-T1, HRR76_003138-T1	HMPREF1120_01457, HMPREF1120_02980
OG0000147	HRR76_006300-T1, HRR76_007216-T1	HMPREF1120_06072, HMPREF1120_07003
OG0000148	HRR76_000032-T1, HRR76_005009-T1	HMPREF1120_00040, HMPREF1120_04807
OG0000149	HRR76_006744-T1, HRR76_007738-T1	HMPREF1120_06504, HMPREF1120_07506
OG0000150	HRR76_002395-T2, HRR76_006972-T3	HMPREF1120_02295, HMPREF1120_06765
OG0000151	HRR76_003914-T1, HRR76_008952-T1	HMPREF1120_03732, HMPREF1120_08632
OG0000152	HRR76_000561-T1, HRR76_005431-T1	HMPREF1120_00547, HMPREF1120_05209
OG0000153	HRR76_002648-T1, HRR76_009288-T2	HMPREF1120_02527, HMPREF1120_08967
OG0000154	HRR76_003164-T1, HRR76_004171-T1	HMPREF1120_03009, HMPREF1120_03976
OG0000155	HRR76_006480-T1, HRR76_007481-T1	HMPREF1120_06249, HMPREF1120_07257
OG0000156	HRR76_005811-T1, HRR76_006745-T1	HMPREF1120_05588, HMPREF1120_06505
OG0000157	HRR76_000491-T1, HRR76_006666-T1	HMPREF1120_00478, HMPREF1120_06433
OG0000158	HRR76_003002-T1, HRR76_006392-T1	HMPREF1120_02869, HMPREF1120_06161
OG0000159	HRR76_004350-T1, HRR76_006840-T1	HMPREF1120_04149, HMPREF1120_06640
OG0000160	HRR76_001778-T1, HRR76_009260-T1, HRR76_009405-T1	HMPREF1120_01721
OG0000161	HRR76_002993-T1, HRR76_006554-T1	HMPREF1120_02861, HMPREF1120_06324
OG0000162	HRR76_000484-T1, HRR76_009478-T1	HMPREF1120_00471, HMPREF1120_09153
OG0000163	HRR76_006637-T1, HRR76_008696-T1	HMPREF1120_06406, HMPREF1120_08399
OG0000164	HRR76_003623-T1, HRR76_005812-T1	HMPREF1120_03461, HMPREF1120_05589
OG0000165	HRR76_001565-T1, HRR76_002553-T1	HMPREF1120_01512, HMPREF1120_02437
OG0000166	HRR76_003715-T1, HRR76_006616-T1	HMPREF1120_03552, HMPREF1120_06386
OG0000167	HRR76_006025-T1, HRR76_007988-T1	HMPREF1120_05793, HMPREF1120_07750
OG0000168	HRR76_005388-T1, HRR76_005398-T1	HMPREF1120_05165, HMPREF1120_05175
OG0000169	HRR76_003242-T1, HRR76_004384-T1	HMPREF1120_03083, HMPREF1120_04186
OG0000170	HRR76_001684-T1, HRR76_003441-T1	HMPREF1120_03281, HMPREF1120_04422
OG0000171	HRR76_002306-T1, HRR76_002740-T1	HMPREF1120_02210, HMPREF1120_02617
OG0000172	HRR76_001740-T1, HRR76_005452-T1	HMPREF1120_01684, HMPREF1120_05229
OG0000173	HRR76_002412-T1, HRR76_002534-T1, HRR76_007038-T1	HMPREF1120_06833
OG0000174	HRR76_001624-T1, HRR76_006390-T1	HMPREF1120_01569, HMPREF1120_06159
OG0000175	HRR76_000749-T1, HRR76_001910-T1	HMPREF1120_00730, HMPREF1120_01842
OG0000176	HRR76_001650-T1, HRR76_007951-T1	HMPREF1120_01596, HMPREF1120_07716
OG0000177	HRR76_003151-T1, HRR76_004619-T1	HMPREF1120_02995, HMPREF1120_04430
OG0000178	HRR76_002651-T1, HRR76_008298-T1	HMPREF1120_02530, HMPREF1120_08014
OG0000179	HRR76_000088-T1, HRR76_007141-T1	HMPREF1120_00092, HMPREF1120_06934
OG0000180	HRR76_004531-T1, HRR76_004931-T1	HMPREF1120_04333, HMPREF1120_04730
OG0000181	HRR76_001899-T1, HRR76_004261-T1	HMPREF1120_01830, HMPREF1120_04063
OG0000182	HRR76_005816-T1, HRR76_006004-T1	HMPREF1120_05592, HMPREF1120_05775
OG0000183	HRR76_000087-T1, HRR76_005914-T1	HMPREF1120_00091, HMPREF1120_05690
OG0000184	HRR76_006710-T1, HRR76_006727-T1	HMPREF1120_06473, HMPREF1120_06487
OG0000185	HRR76_002276-T1, HRR76_004542-T1	HMPREF1120_02182, HMPREF1120_04351
OG0000186	HRR76_003283-T1, HRR76_007678-T1	HMPREF1120_03125, HMPREF1120_07450
OG0000187	HRR76_007812-T1, HRR76_009111-T1	HMPREF1120_07584, HMPREF1120_08785
OG0000188	HRR76_002624-T1, HRR76_005172-T1	HMPREF1120_02503, HMPREF1120_04967
OG0000189	HRR76_005383-T1, HRR76_006276-T1	HMPREF1120_05159, HMPREF1120_06050
OG0000190	HRR76_004302-T1, HRR76_009087-T1	HMPREF1120_04103, HMPREF1120_08764
OG0000191	HRR76_001235-T1, HRR76_006771-T1	HMPREF1120_01195, HMPREF1120_06531
OG0000192	HRR76_001426-T1, HRR76_007829-T1	HMPREF1120_01374, HMPREF1120_07602
OG0000193	HRR76_003126-T1, HRR76_003236-T1	HMPREF1120_02966, HMPREF1120_03077
OG0000194	HRR76_006506-T1, HRR76_007352-T1	HMPREF1120_06275, HMPREF1120_07131
OG0000195	HRR76_001273-T1, HRR76_009016-T1	HMPREF1120_01230, HMPREF1120_08695
OG0000196	HRR76_005121-T1, HRR76_007637-T1	HMPREF1120_04916, HMPREF1120_07411
OG0000197	HRR76_005463-T1, HRR76_007133-T1	HMPREF1120_05239, HMPREF1120_06926
OG0000198	HRR76_000959-T1, HRR76_005874-T1	HMPREF1120_00927, HMPREF1120_05651
OG0000199	HRR76_003373-T2, HRR76_007588-T1	HMPREF1120_03216, HMPREF1120_07361
OG0000200	HRR76_005465-T1, HRR76_006642-T1	HMPREF1120_05241, HMPREF1120_06411
OG0000201	HRR76_006218-T1, HRR76_009534-T1	HMPREF1120_05988, HMPREF1120_09210
OG0000202	HRR76_000833-T1, HRR76_004349-T1	HMPREF1120_00809, HMPREF1120_04147
OG0000203	HRR76_004899-T1, HRR76_008501-T1	HMPREF1120_04701, HMPREF1120_08214
OG0000204	HRR76_004897-T1, HRR76_005520-T1	HMPREF1120_04699, HMPREF1120_05299
OG0000205	HRR76_005788-T1, HRR76_007159-T1	HMPREF1120_05566, HMPREF1120_06951
OG0000206	HRR76_002434-T1, HRR76_009126-T1	HMPREF1120_02326, HMPREF1120_08800
OG0000207	HRR76_002528-T1, HRR76_006423-T1	HMPREF1120_02416, HMPREF1120_06190
OG0000208	HRR76_002904-T1, HRR76_004053-T1	HMPREF1120_02778, HMPREF1120_03862
